################################################################################ 
# 
# Generated by: SpyGlass Physical 
# Generated on: Thu Sep 10 04:33:35 2015 
# Hostname    : localhost.localdomain 
# Version     : 5.5.0.2 
# Module Name : openMSP430 
# Command     : report physical.wirelength -total -detail -rpt WLnets.out 
# 
################################################################################ 
Steiner Estimate 
--------------------------------------------------------------------- 
                                                NET  NUM_PINS  LENGTH 
                                       pmem_din[14]         2   42.02 
                                       pmem_addr[3]         2   42.01 
                          mem_backbone_0/rtlc_N2578        17   42.01 
                              frontend_0/irq_num[1]         4   42.00 
                  execution_unit_0/alu_0/rtlc_N2176        18   41.78 
                                multiplier_0/op2_wr        20   41.58 
                  execution_unit_0/alu_0/rtlc_N1452         4   41.51 
                         execution_unit_0/op_src[6]         5   41.24 
                               multiplier_0/op1[15]         4   41.21 
                                        pmem_din[6]         2   41.14 
                                        inst_alu[0]         2   41.12 
                              multiplier_0/cycle[0]        21   41.12 
                                        pmem_din[2]         2   41.09 
                                             cpu_en         4   40.99 
                                         e_state[0]        10   40.71 
                  execution_unit_0/alu_0/rtlc_N1663         3   40.61 
                                        per_dout[8]         2   40.55 
                       execution_unit_0/reg_src[14]         3   40.51 
        execution_unit_0/register_file_0/rtlc_N9406         2   40.42 
                        execution_unit_0/rtlc_N2664        36   40.26 
        execution_unit_0/register_file_0/rtlc_N9534        13   40.21 
                                           cpu_en_s         3   39.83 
                         execution_unit_0/op_src[1]         5   39.74 
                                       per_dout[11]         2   39.71 
                        execution_unit_0/reg_src[5]         3   39.71 
                              frontend_0/rtlc_N4498         6   39.65 
                         frontend_0/inst_jmp_bin[2]         2   39.60 
                                       per_dout[12]         2   39.19 
                                  dbg_0/dbg_din[15]         4   39.12 
                                        lfxt_enable         2   39.07 
                                multiplier_0/op1[1]         3   39.06 
                                          eu_mab[8]         4   38.99 
                                    dbg_mem_dout[3]         4   38.97 
                         execution_unit_0/op_src[2]         5   38.68 
                                multiplier_0/op1[4]         3   38.66 
                              frontend_0/irq_num[3]         4   38.58 
                         execution_unit_0/op_src[9]         4   38.58 
                    execution_unit_0/alu_stat_wr[3]         3   38.53 
                    execution_unit_0/alu_out_add[2]         3   38.47 
                                    dbg_mem_din[13]         3   38.33 
                                       dmem_dout[8]         3   38.28 
                               execution_unit_0/VCC        35   38.21 
                                       inst_irq_rst         3   38.19 
        execution_unit_0/register_file_0/rtlc_N9392        17   38.07 
                                   dbg_0/dbg_din[7]         4   37.98 
                                     dbg_mem_din[4]         2   37.92 
                                    dbg_mem_addr[1]         3   37.89 
                              frontend_0/irq_num[0]         4   37.59 
                                      dmem_dout[12]         3   37.55 
                              frontend_0/rtlc_N4676         4   37.37 
                                    dbg_mem_din[12]         3   37.37 
                         execution_unit_0/op_dst[3]         5   37.35 
                       execution_unit_0/reg_dest[9]         4   37.31 
                         execution_unit_0/op_src[5]         5   37.22 
                        execution_unit_0/reg_src[9]         3   37.18 
                                   dbg_0/dbg_din[9]         4   37.09 
                         execution_unit_0/op_dst[0]         5   37.08 
                                     dbg_mem_din[5]         2   37.06 
                        execution_unit_0/op_src[10]         4   36.88 
                                      dmem_dout[10]         3   36.83 
                                   dbg_0/dbg_din[3]         7   36.81 
                                          fe_mab[5]         3   36.80 
                                    dbg_i2c_sda_out         2   36.79 
                               multiplier_0/op1[11]         3   36.78 
                                         dbg_mem_en         8   36.62 
                                          eu_mab[7]         4   36.46 
                               multiplier_0/op1[12]         3   36.41 
        execution_unit_0/register_file_0/rtlc_N8699        15   36.37 
                        execution_unit_0/op_src[14]         4   36.20 
                       execution_unit_0/reg_dest[7]         4   36.15 
                                    per_dout_mpy[9]         2   36.13 
                                              pc[7]         4   36.13 
                             multiplier_0/rtlc_N146        17   36.09 
                                        pmem_din[4]         2   36.05 
                                       pmem_addr[4]         2   35.98 
                                multiplier_0/op1[3]         3   35.96 
                                       pmem_addr[8]         2   35.95 
                                          eu_mab[9]         4   35.83 
                        dbg_0/dbg_uart_0/rtlc_N2010         4   35.80 
        execution_unit_0/register_file_0/rtlc_N9434         2   35.74 
                                   dbg_mem_dout[13]         4   35.65 
                             multiplier_0/op2_xp[4]         2   35.53 
                   execution_unit_0/alu_out_add[11]         3   35.49 
                                multiplier_0/op1[7]         3   35.48 
             execution_unit_0/register_file_0/r2[8]         5   35.31 
                      dbg_0/dbg_uart_0/xfer_buf[15]         5   35.23 
                                        per_dout[4]         2   35.17 
                         execution_unit_0/op_src[4]         5   35.13 
        execution_unit_0/register_file_0/rtlc_N9446         2   35.12 
                                            dbg_rst         4   35.03 
                                         fe_mab[15]         3   34.98 
                                   dbg_0/rtlc_N2870        18   34.96 
                                          fe_mab[6]         3   34.95 
                                          fe_mab[3]         3   34.91 
                                    dbg_mem_dout[4]         4   34.85 
                                     eu_mdb_out[14]         2   34.81 
                       execution_unit_0/alu_out[10]         4   34.72 
               execution_unit_0/alu_0/op_dst_in[15]         5   34.68 
                  execution_unit_0/alu_0/rtlc_N1587         5   34.67 
                                       pmem_din[13]         2   34.53 
                                   dbg_0/rtlc_N2838        16   34.53 
                                multiplier_0/op1[5]         3   34.49 
                         execution_unit_0/alu_0/VSS        27   34.31 
                        execution_unit_0/rtlc_N2922        18   34.29 
                            multiplier_0/rtlc_N2281        17   34.19 
                                    dbg_mem_din[14]         3   34.19 
                        execution_unit_0/op_src[11]         4   34.13 
